Year,Award,Winner,Film,Nominee,Type
1928,Directing (Comedy Picture),True,Two Arabian Knights,Lewis Milestone,Academy Award
1928,Directing (Comedy Picture),False,Speedy,Ted Wilde,Academy Award
1928,Directing (Dramatic Picture),True,7th Heaven,Frank Borzage,Academy Award
1928,Directing (Dramatic Picture),False,Sorrell and Son,Herbert Brenon,Academy Award
1928,Directing (Dramatic Picture),False,The Crowd,King Vidor,Academy Award
1929,Directing,False,Madame X,Lionel Barrymore,Academy Award
1929,Directing,False,The Broadway Melody,Harry Beaumont,Academy Award
1929,Directing,False,In Old Arizona,Irving Cummings,Academy Award
1929,Directing,True,The Divine Lady,Frank Lloyd,Academy Award
1929,Directing,False,Drag; and Weary River,Frank Lloyd,Academy Award
1929,Directing,False,The Patriot,Ernst Lubitsch,Academy Award
1930,Directing,False,Anna Christie; and Romance,Clarence Brown,Academy Award
1930,Directing,False,The Divorcee,Robert Leonard,Academy Award
1930,Directing,False,The Love Parade,Ernst Lubitsch,Academy Award
1930,Directing,True,All Quiet on the Western Front,Lewis Milestone,Academy Award
1930,Directing,False,Hallelujah,King Vidor,Academy Award
1931,Directing,False,Cimarron,Wesley Ruggles,Academy Award
1931,Directing,False,A Free Soul,Clarence Brown,Academy Award
1931,Directing,False,The Front Page,Lewis Milestone,Academy Award
1931,Directing,False,Morocco,Josef Von Sternberg,Academy Award
1931,Directing,True,Skippy,Norman Taurog,Academy Award
1932,Directing,True,Bad Girl,Frank Borzage,Academy Award
1932,Directing,False,The Champ,King Vidor,Academy Award
1932,Directing,False,Shanghai Express,Josef Von Sternberg,Academy Award
1933,Directing,True,Cavalcade,Frank Lloyd,Academy Award
1933,Directing,False,Lady for a Day,Frank Capra [Second],Academy Award
1933,Directing,False,Little Women,George Cukor [Third],Academy Award
1934,Directing,True,It Happened One Night,Frank Capra,Academy Award
1934,Directing,False,One Night of Love,Victor Schertzinger [Third],Academy Award
1934,Directing,False,The Thin Man,W. S. Van Dyke [Second],Academy Award
1935,Directing,False,Captain Blood,Michael Curtiz [Second],Academy Award
1935,Directing,True,The Informer,John Ford,Academy Award
1935,Directing,False,The Lives of a Bengal Lancer,Henry Hathaway [Third],Academy Award
1935,Directing,False,Mutiny on the Bounty,Frank Lloyd,Academy Award
1936,Directing,False,Dodsworth,William Wyler,Academy Award
1936,Directing,False,The Great Ziegfeld,Robert Z. Leonard,Academy Award
1936,Directing,True,Mr. Deeds Goes to Town,Frank Capra,Academy Award
