movie_year,director_gender,movie_vote_average
1887-01-01,male,5.1
1888-01-01,male,6.4
1896-01-01,female,5.2
1898-01-01,male,6.9
1902-01-01,male,8.0
1904-01-01,male,7.5
1910-01-01,male,6.0
1912-01-01,female,6.8
1913-01-01,female,7.0
1913-01-01,male,6.55
1914-01-01,male,5.666666666666667
1915-01-01,male,6.377777777777776
1916-01-01,male,7.5
1919-01-01,male,7.1
1920-01-01,male,7.216666666666666
1921-01-01,male,7.516666666666666
1922-01-01,male,7.279999999999999
1923-01-01,male,7.0857142857142845
1924-01-01,male,7.05
1925-01-01,male,7.4692307692307685
1926-01-01,male,7.340000000000001
1927-01-01,male,7.611111111111111
1928-01-01,male,7.276923076923077
1929-01-01,male,7.175000000000001
1930-01-01,male,7.12
1931-01-01,male,7.061538461538462
1932-01-01,male,7.176190476190477
1933-01-01,male,7.01
1934-01-01,male,7.1000000000000005
1935-01-01,male,7.179999999999999
1936-01-01,male,7.091666666666668
1937-01-01,male,7.1933333333333325
1938-01-01,male,7.266666666666668
1939-01-01,male,7.3310344827586205
1940-01-01,male,7.229411764705882
1941-01-01,male,7.009090909090909
1942-01-01,male,7.031578947368421
1943-01-01,female,7.9
1943-01-01,male,6.618181818181818
1944-01-01,female,7.7
1944-01-01,male,6.8076923076923075
1945-01-01,female,5.9
1945-01-01,male,7.1692307692307695
1946-01-01,male,7.090909090909093
1947-01-01,male,7.223529411764708
1948-01-01,male,7.319047619047619
1949-01-01,male,7.252380952380951
1950-01-01,male,7.373333333333334
1951-01-01,male,7.300000000000002
1952-01-01,male,7.438888888888889
1953-01-01,male,7.206666666666668
1954-01-01,male,7.161904761904762
1955-01-01,male,7.236666666666667
1956-01-01,male,7.299999999999999
1957-01-01,male,7.2043478260869565
1958-01-01,male,7.213636363636365
1959-01-01,male,7.1433333333333335
1960-01-01,male,7.407142857142854
1961-01-01,male,7.329166666666666
1962-01-01,female,7.9
1962-01-01,male,7.491304347826088
1963-01-01,male,7.021428571428571
1964-01-01,male,7.070967741935485
1965-01-01,male,7.038461538461537
1966-01-01,female,7.6
1966-01-01,male,7.087096774193547
1967-01-01,male,6.8939393939393945
1968-01-01,male,7.185714285714286
1969-01-01,male,7.273333333333332
1970-01-01,male,6.914285714285716
1971-01-01,male,6.984615384615386
1972-01-01,male,7.2333333333333325
1973-01-01,male,7.232258064516126
1974-01-01,female,7.25
1974-01-01,male,6.874074074074074
1975-01-01,female,7.466666666666666
1975-01-01,male,7.025
1976-01-01,female,6.25
1976-01-01,male,6.956521739130435
1977-01-01,female,8.1
1977-01-01,male,7.06
1978-01-01,male,6.651999999999999
1979-01-01,male,6.896428571428572
1980-01-01,male,6.299999999999999
1981-01-01,male,6.75483870967742
1982-01-01,male,7.027777777777778
1983-01-01,male,6.845833333333331
1984-01-01,female,8.1
1984-01-01,male,6.866666666666667
1985-01-01,female,6.75
1985-01-01,male,6.928125
1986-01-01,male,6.67878787878788
1987-01-01,female,7.9
1987-01-01,male,6.840540540540542
1988-01-01,male,6.933333333333334
1989-01-01,female,6.533333333333334
1989-01-01,male,6.892857142857143
1990-01-01,female,7.1
1990-01-01,male,6.565624999999998
1991-01-01,female,7.05
1991-01-01,male,6.7086956521739145
1992-01-01,female,6.966666666666666
1992-01-01,male,6.66551724137931
1993-01-01,female,6.700000000000001
1993-01-01,male,6.949999999999999
1994-01-01,female,6.800000000000001
1994-01-01,male,6.877777777777778
1995-01-01,female,6.549999999999999
1995-01-01,male,6.820588235294117
1996-01-01,male,6.456250000000001
1997-01-01,female,6.8
1997-01-01,male,6.751020408163265
1998-01-01,female,6.699999999999999
1998-01-01,male,7.043902439024392
1999-01-01,female,7.214285714285714
1999-01-01,male,6.623076923076923
2000-01-01,female,7.4
2000-01-01,male,6.583673469387755
2001-01-01,female,6.366666666666667
2001-01-01,male,6.873584905660379
2002-01-01,female,6.125
2002-01-01,male,6.636363636363636
2003-01-01,female,6.8375
2003-01-01,male,6.743076923076923
2004-01-01,female,6.6000000000000005
2004-01-01,male,6.7027397260273975
2005-01-01,female,6.7
2005-01-01,male,6.379629629629629
2006-01-01,female,7.014285714285713
2006-01-01,male,6.558461538461538
2007-01-01,female,6.35
2007-01-01,male,6.775675675675675
2008-01-01,female,6.725
2008-01-01,male,6.580000000000001
2009-01-01,female,6.625
2009-01-01,male,6.581034482758622
2010-01-01,female,6.449999999999999
2010-01-01,male,6.578571428571431
2011-01-01,female,6.7
2011-01-01,male,6.509615384615386
2012-01-01,female,6.475
2012-01-01,male,6.633333333333334
2013-01-01,female,6.82
2013-01-01,male,6.689743589743591
2014-01-01,female,6.859999999999999
2014-01-01,male,6.546875
2015-01-01,female,6.5
2015-01-01,male,6.608333333333334
2016-01-01,female,6.699999999999999
2016-01-01,male,6.556923076923076
2017-01-01,female,6.733333333333333
2017-01-01,male,6.705357142857144
2018-01-01,female,6.12
2018-01-01,male,6.792307692307693
2019-01-01,female,7.1
2019-01-01,male,6.792857142857144
2020-01-01,male,6.0
