Year,Category,Nominee,Film,Winner,Type
1943,Best Director - Motion Picture,Henry King,The Song Of Bernadette,True,Golden Globe
1944,Best Director - Motion Picture,Leo McCarey,Going My Way,True,Golden Globe
1945,Best Director - Motion Picture,Billy Wilder,The Lost Weekend,True,Golden Globe
1946,Best Director - Motion Picture,Frank Capra,It's A Wonderful Life,True,Golden Globe
1947,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement,True,Golden Globe
1948,Best Director - Motion Picture,John Huston,The Treasure of the Sierra Madre,True,Golden Globe
1949,Best Director - Motion Picture,Robert Rossen,All The King's Men,True,Golden Globe
1949,Best Director - Motion Picture,William Wyler,The Heiress,False,Golden Globe
1950,Best Director - Motion Picture,Billy Wilder,Sunset Boulevard,True,Golden Globe
1950,Best Director - Motion Picture,George Cukor,Born Yesterday,False,Golden Globe
1950,Best Director - Motion Picture,John Huston,The Asphalt Jungle,False,Golden Globe
1950,Best Director - Motion Picture,Joseph L. Mankiewicz,All About Eve,False,Golden Globe
1951,Best Director - Motion Picture,Laslo Benedek,Death of a Salesman (1951),True,Golden Globe
1951,Best Director - Motion Picture,Vincente Minnelli,An American In Paris,False,Golden Globe
1951,Best Director - Motion Picture,George Stevens,A Place In The Sun,False,Golden Globe
1952,Best Director - Motion Picture,Cecil B. deMille,The Greatest Show On Earth,True,Golden Globe
1952,Best Director - Motion Picture,Richard Fleischer,The Happy Time,False,Golden Globe
1952,Best Director - Motion Picture,John Ford,The Quiet Man,False,Golden Globe
1953,Best Director - Motion Picture,Fred Zinnemann,From Here to Eternity,True,Golden Globe
1954,Best Director - Motion Picture,Elia Kazan,On the Waterfront,True,Golden Globe
1955,Best Director - Motion Picture,Joshua Logan,Picnic,True,Golden Globe
1956,Best Director - Motion Picture,Elia Kazan,Baby Doll,True,Golden Globe
1956,Best Director - Motion Picture,Michael Anderson,Around the World in 80 Days,False,Golden Globe
1956,Best Director - Motion Picture,Vincente Minnelli,Lust For Life,False,Golden Globe
1956,Best Director - Motion Picture,George Stevens,Giant,False,Golden Globe
1956,Best Director - Motion Picture,King Vidor,War and Peace,False,Golden Globe
1957,Best Director - Motion Picture,David Lean,"Bridge on the River Kwai, The",True,Golden Globe
1957,Best Director - Motion Picture,Joshua Logan,Sayonara,False,Golden Globe
1957,Best Director - Motion Picture,Sidney Lumet,12 Angry Men (1957),False,Golden Globe
1957,Best Director - Motion Picture,Billy Wilder,Witness for the Prosecution,False,Golden Globe
1957,Best Director - Motion Picture,Fred Zinnemann,"Hatful of Rain, A",False,Golden Globe
1958,Best Director - Motion Picture,Vincente Minnelli,Gigi,True,Golden Globe
1958,Best Director - Motion Picture,Richard Brooks,Cat on a Hot Tin Roof,False,Golden Globe
1958,Best Director - Motion Picture,Stanley Kramer,"Defiant Ones, The",False,Golden Globe
1958,Best Director - Motion Picture,Delbert Mann,Separate Tables,False,Golden Globe
1958,Best Director - Motion Picture,Robert Wise,I Want To Live!,False,Golden Globe
1959,Best Director - Motion Picture,William Wyler,Ben-Hur,True,Golden Globe
1959,Best Director - Motion Picture,Stanley Kramer,On The Beach,False,Golden Globe
1959,Best Director - Motion Picture,Otto Preminger,Anatomy of a Murder,False,Golden Globe
1959,Best Director - Motion Picture,George Stevens,"Diary of Anne Frank, The",False,Golden Globe
1959,Best Director - Motion Picture,Fred Zinnemann,"Nun's Story, The",False,Golden Globe
1960,Best Director - Motion Picture,Jack Cardiff,Sons and Lovers,True,Golden Globe
1960,Best Director - Motion Picture,Richard Brooks,Elmer Gantry,False,Golden Globe
1960,Best Director - Motion Picture,Stanley Kubrick,Spartacus,False,Golden Globe
1960,Best Director - Motion Picture,Billy Wilder,"Apartment, The",False,Golden Globe
1960,Best Director - Motion Picture,Fred Zinnemann,"Sundowners, The",False,Golden Globe
1961,Best Director - Motion Picture,Stanley Kramer,Judgment at Nuremberg,True,Golden Globe
1961,Best Director - Motion Picture,J. Lee Thompson,The Guns Of Navarone,False,Golden Globe
1961,Best Director - Motion Picture,Anthony Mann,El Cid,False,Golden Globe
1961,Best Director - Motion Picture,Robert Wise,West Side Story,False,Golden Globe
1961,Best Director - Motion Picture,William Wyler,"Children's Hour, The",False,Golden Globe
1962,Best Director - Motion Picture,David Lean,Lawrence Of Arabia,True,Golden Globe
1962,Best Director - Motion Picture,Blake Edwards,Days of Wine and Roses,False,Golden Globe
1962,Best Director - Motion Picture,John Frankenheimer,"Manchurian Candidate, The",False,Golden Globe
1962,Best Director - Motion Picture,John Huston,Freud,False,Golden Globe
1962,Best Director - Motion Picture,Stanley Kubrick,Lolita,False,Golden Globe
1962,Best Director - Motion Picture,Mervyn LeRoy,Gypsy,False,Golden Globe
1962,Best Director - Motion Picture,Robert Mulligan,To Kill A Mockingbird,False,Golden Globe
1962,Best Director - Motion Picture,Martin Ritt,Hemingway's Adventures of a Young Man,False,Golden Globe
1962,Best Director - Motion Picture,George Cukor,"Chapman Report, The",False,Golden Globe
1962,Best Director - Motion Picture,Morton DaCosta,Meredith Willson's The Music Man,False,Golden Globe
1962,Television Producer/Director,Rod Serling,"Twilight Zone, The",True,Golden Globe
1963,Best Director - Motion Picture,Elia Kazan,"America, America",True,Golden Globe
1963,Best Director - Motion Picture,Hall Bartlett,"Caretakers, The",False,Golden Globe
1963,Best Director - Motion Picture,George Englund,"Ugly American, The",False,Golden Globe
1963,Best Director - Motion Picture,Joseph L. Mankiewicz,Cleopatra,False,Golden Globe
1963,Best Director - Motion Picture,Otto Preminger,"Cardinal, The",False,Golden Globe
1963,Best Director - Motion Picture,Tony Richardson,Tom Jones,False,Golden Globe
1963,Best Director - Motion Picture,Martin Ritt,Hud,False,Golden Globe
1963,Best Director - Motion Picture,Robert Wise,"Haunting, The",False,Golden Globe
1964,Best Director - Motion Picture,George Cukor,My Fair Lady,True,Golden Globe
1964,Best Director - Motion Picture,Michael Cacoyannis,Zorba The Greek,False,Golden Globe
1964,Best Director - Motion Picture,John Frankenheimer,Seven Days In May,False,Golden Globe
1964,Best Director - Motion Picture,Peter Glenville,Becket,False,Golden Globe
1964,Best Director - Motion Picture,John Huston,"Night of the Iguana, The",False,Golden Globe
1965,Best Director - Motion Picture,David Lean,Doctor Zhivago,True,Golden Globe
1965,Best Director - Motion Picture,Guy Green,"Patch of Blue, A",False,Golden Globe
1965,Best Director - Motion Picture,John Schlesinger,Darling,False,Golden Globe
1965,Best Director - Motion Picture,Robert Wise,"Sound of Music, The",False,Golden Globe
1965,Best Director - Motion Picture,William Wyler,"Collector, The",False,Golden Globe
1966,Best Director - Motion Picture,Fred Zinnemann,"Man for All Seasons, A",True,Golden Globe
1966,Best Director - Motion Picture,Lewis Gilbert,Alfie (1966),False,Golden Globe
1966,Best Director - Motion Picture,Claude Lelouch,A Man And A Woman,False,Golden Globe
1966,Best Director - Motion Picture,Mike Nichols,Who's Afraid of Virginia Woolf?,False,Golden Globe
1966,Best Director - Motion Picture,Robert Wise,The Sand Pebbles,False,Golden Globe
1967,Best Director - Motion Picture,Mike Nichols,"Graduate, The",True,Golden Globe
1967,Best Director - Motion Picture,Norman Jewison,In the Heat of the Night,False,Golden Globe
1967,Best Director - Motion Picture,Stanley Kramer,Guess Who's Coming To Dinner,False,Golden Globe
1967,Best Director - Motion Picture,Arthur Penn,Bonnie and Clyde,False,Golden Globe
1967,Best Director - Motion Picture,Mark Rydell,The Fox,False,Golden Globe
1968,Best Director - Motion Picture,Paul Newman,"Rachel, Rachel",True,Golden Globe
1968,Best Director - Motion Picture,Franco Zeffirelli,Romeo and Juliet,False,Golden Globe
1968,Best Director - Motion Picture,Anthony Harvey,The Lion in Winter,False,Golden Globe
1968,Best Director - Motion Picture,Carol Reed,Oliver!,False,Golden Globe
1968,Best Director - Motion Picture,William Wyler,Funny Girl,False,Golden Globe
1969,Best Director - Motion Picture,Charles Jarrott,Anne of the Thousand Days,True,Golden Globe
1969,Best Director - Motion Picture,Gene Kelly,"Hello, Dolly!",False,Golden Globe
1969,Best Director - Motion Picture,Stanley Kramer,"Secret of Santa Vittoria, The",False,Golden Globe
1969,Best Director - Motion Picture,Sydney Pollack,"They Shoot Horses, Don't They?",False,Golden Globe
1969,Best Director - Motion Picture,John Schlesinger,Midnight Cowboy,False,Golden Globe
1970,Best Director - Motion Picture,Arthur Hiller,Love Story,True,Golden Globe
1970,Best Director - Motion Picture,Robert Altman,M*A*S*H,False,Golden Globe
1970,Best Director - Motion Picture,Bob Rafelson,Five Easy Pieces,False,Golden Globe
1970,Best Director - Motion Picture,Ken Russell,Women In Love,False,Golden Globe
1970,Best Director - Motion Picture,Franklin J. Schaffner,Patton,False,Golden Globe
1971,Best Director - Motion Picture,William Friedkin,"French Connection, The",True,Golden Globe
1971,Best Director - Motion Picture,Peter Bogdanovich,"Last Picture Show, The",False,Golden Globe
1971,Best Director - Motion Picture,Norman Jewison,Fiddler on the Roof,False,Golden Globe
1971,Best Director - Motion Picture,Stanley Kubrick,"Clockwork Orange, A",False,Golden Globe
1971,Best Director - Motion Picture,Robert Mulligan,Summer of '42,False,Golden Globe
1972,Best Director - Motion Picture,Francis Ford Coppola,"Godfather, The",True,Golden Globe
1972,Best Director - Motion Picture,John Boorman,Deliverance,False,Golden Globe
1972,Best Director - Motion Picture,Bob Fosse,Cabaret,False,Golden Globe
1972,Best Director - Motion Picture,Alfred Hitchcock,Frenzy,False,Golden Globe
1972,Best Director - Motion Picture,Billy Wilder,Avanti!,False,Golden Globe
